DistInstID,SchlYr,CntyNm,DistNm,BldgNm,DistStudCnt,YrBlt,YrRemod,SqFt,DistSqFt,last column
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","CENTRAL POINT MAINTENANCE SHOP",4600,1963,,2000,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","CENTRAL POINT-ADMIN/MAINT",4600,1968,,3615,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","CENTRAL POINT ELEM-GYMNASIUM",4600,1963,,12322,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","CENTRAL POINT ELEMENTARY",4600,1908,1947,43421,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","JEWETT ELEMENTARY",4600,1955,1984,45018,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","PATRICK ELEMENTARY",4600,1956,1977,35004,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","MAE RICHARDSON ELEMENTARY",4600,1964,,32476,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","SAMS VALLEY ELEMENTARY",4600,1966,1977,40063,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","HANBY Middle School",4600,1910,1991,38449,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","SCENIC Middle School",4600,1966,,78792,477722,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","CRATER HIGH",4600,1950,1990,138718,477722,-
1972,"7/1/2000","CURRY","CENTRAL CURRY 1","RILEY CREEK ELEMENTARY",766,1956,1989,64916,162026,-
1972,"7/1/2000","CURRY","CENTRAL CURRY 1","GOLD BEACH UNION HIGH",766,1927,1975,93110,162026,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","LYNCH MEADOWS",6057,1976,1981,53836,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","HAROLD OLIVER INTERMEDIATE",6057,1969,1974,83458,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","HAROLD OLIVER PRIMARY",6057,1960,1994,45815,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","LYNCH VIEW ELEMENTARY",6057,1957,1994,49151,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","LYNCH WOOD ELEMENTARY",6057,1959,1994,51002,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","PLEASANT VALLEY ELEM",6057,1940,1994,56830,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","CENTENNIAL MIDDLE",6057,1962,1994,134090,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","CENTENNIAL LEARNING CENTER",6057,1959,1997,15308,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","CENTENNIAL HIGH",6057,1959,1980,225878,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","CENTENNIAL HIGH-STADIUM",6057,1968,,10000,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","SERVICE CENTER (Transportation/Food Service)",6057,1978,1998,7289,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","DISTRICT MAINTENANCE BUILDING",6057,1998,,6850,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","DISTRICT CARPENTER SHOP",6057,1976,,1650,752873,-
2185,"7/1/2000","MULTNOMAH","Centennial SD 28J","PLEASANT VALLEY ELEM-STORAGE GARAGE",6057,1930,,2500,752873,-
2139,"7/1/2000","MARION","Cascade SD 5","MARION ELEMENTARY",2199,1940,,14009,339324,-
2139,"7/1/2000","MARION","Cascade SD 5","WEST STAYTON ELEMENTARY",2199,1932,,9628,339324,-
2139,"7/1/2000","MARION","Cascade SD 5","CASCADE JR HIGH",2199,1949,,86988,339324,-
2139,"7/1/2000","MARION","Cascade SD 5","CASCADE SR HIGH",2199,1968,,83580,339324,-
2139,"7/1/2000","MARION","Cascade SD 5","AUMSVILLE ELEMENTARY",2199,1961,,57326,339324,-
2139,"7/1/2000","MARION","Cascade SD 5","CLOVERDALE ELEMENTARY",2199,1910,,17133,339324,-
